Name,观影人数,Priority,种类,Seriousness,状态,Brief Desc,Out,完成日期,评级,短评
Atlantis 迪士尼动画电影,自己,❗️❗️,电影,,Completed,,Yes,"September 17, 2022",3 及格,"蛮不错的classic disney movie,  adventure themed, love the character design, a good cliche"
VICE Special Report: A House Divided (1h),自己,❗️,纪录,,Completed,,Yes,"September 14, 2022",3 及格,a window into the American politics under the era of Obama
Universal Mind of Bill Evans,自己,❗️❗️❗️,纪录,,Completed,,Yes,"September 13, 2022",3 及格,"introduction to Bill Evans’ mind, the board idea is worth learning"
从横四海,自己,❗️❗️,电影,,Completed,,Yes,"September 11, 2022",2 难以下咽,粗制滥造的上世纪香港片
花样年华,自己,❗️❗️❗️,电影,,Completed,,Yes,"August 27, 2022",4 佳作,蛮有意思的电影，不过也没有那么“神作”，梁朝伟好像没那么帅了，张曼玉也不是很好看，王家卫还是那味儿
NHK山本耀司超越时空的黑色,自己,❗️❗️❗️,纪录,Serious,Completed,,Yes,"August 23, 2022",5 值得再看一遍,大师就是大师，可以学很多东西，接触大师
咩咩启示录 - 风笑全流程解说p1-p8,自己,❗️❗️❗️,实用,,Completed,,Yes,"August 22, 2022",3 及格,游戏本身短小精悍，不过感觉缺乏些内核，解说风格还可以
灵能百分百 第二季,自己,❗️❗️,动画,,Completed,,Yes,"August 22, 2022",3 及格,第一季的继承，nothing less nothing more
间谍过家家 第一季,自己,❗️❗️,动画,,Completed,,Yes,"August 22, 2022",3 及格,新颖题材前几集还很有意思，当习惯了模式之后就一般了
灵能百分百 第一季,自己,❗️❗️,动画,,Completed,,Yes,"August 20, 2022",3 及格,蛮有意思的动画，搞笑+热血。谈不上神作
Better Call Saul Season 1-6,自己,❗️❗️❗️,电视剧,Mild,Completed,,Yes,"August 18, 2022",5 值得再看一遍,"one of the best realistic drama out there. cinematoprahy, plot, character. mild fan-service of Breaking Bad. background completion of Breaking Bad characters."
绝命毒师Breaking Bad S1-S5,自己,❗️❗️❗️,电视剧,Mild,Completed,,Yes,"August 10, 2022",5 值得再看一遍,慢热剧，Drama叠加在最后爆发，人物立体体现“复调理论”，化学tribute，黑色quirky幽默
链锯人,自己,❗️❗️,漫画,Fun,Completed,,Yes,"August 8, 2022",5 值得再看一遍,顶级热血漫画，很血腥，很爽，有色气，有一点反战内核
The Rise of Gru,自己,❗️,电影,,Completed,,Yes,"August 5, 2022",1 直接退出,很无聊的电影，纯打发时间
Minions: The Rise of Guru,自己,❗️❗️,电影,,Completed,,Yes,"August 4, 2022",1 直接退出,Lackluster comparing to The Despicable Me the first movie.
Miles Ahead,自己,❗️❗️,电影,,Completed,,Yes,"July 31, 2022",3 及格,"A window to Miles Davis’ drug-addict life, a tap into jazz and montage cinematography, nothing more"
40岁处男,自己,❗️❗️,电影,,Completed,,Yes,"July 30, 2022",3 及格,老牌美国喜剧电影，众星的早期合作电影，内容本身平平淡淡
Lightyear,自己,❗️,电影,,Completed,,Yes,"July 27, 2022",1 直接退出,a terrible Pixar film that failed the IP of Toy Story
Moneyball,自己,❗️❗️,电影,,Completed,,Yes,"July 8, 2022",3 及格,Brad Pitt & Jonah Hill 感受数据的力量
Doctor Strange: Madness of the Multiverse,自己,❗️,电影,,Completed,,Yes,"July 4, 2022",1 直接退出,漫威“恐怖”电影，节奏诡异，内容劣质
高达Seed & Destiny,自己,❗️❗️,动画,,Completed,,Yes,"June 23, 2022",4 佳作,经典高达系列
Harley and Davidsons Episode 1,和他人,❗️,电视剧,,Completed,,Yes,"June 17, 2022",2 难以下咽," 哈利戴维森发家故事，剧情平平"
The Big Short,自己,❗️❗️❗️,电影,Mild,Completed,,Yes,"June 3, 2022",5 值得再看一遍,描述2008金融危机的影片，值得多次观看（学习terms之后）
攻壳机动队SAC 2045 Season 2,和他人,❗️❗️❗️,电视剧,Fun,Completed,,Yes,"May 30, 2022",5 值得再看一遍,非常好看得攻壳续作，所探讨的主题：战争、AI、经济、政治、哲学 都有很好的描述，3D作画水平超高
爱死机 Season 3,和他人,❗️❗️❗️,电视剧,,Completed,,Yes,"May 28, 2022",4 佳作,Swarm 》 Jibaro 》 Crab
攻壳机动队SAC 2045 Season 1,和他人,❗️❗️❗️,电视剧,,Completed,,Yes,"May 28, 2022",4 佳作,加州卷的metaphor
The Founder,和他人,❗️,电影,,Completed,,Yes,"May 27, 2022",3 及格,麦当劳创始人的发家故事，简单浅显的影片
新蝙蝠侠,自己,❗️❗️,电影,,Completed,,Yes,"May 15, 2022",4 佳作,很好看的蝙蝠侠，喜欢镜头和悬疑感
东京罪恶Tokyo Vice 第一季,自己,❗️❗️,电视剧,,Completed,,Yes,"May 6, 2022",4 佳作,very dramatic，喜欢笠松将
Dune,自己,❗️❗️❗️,电影,,Completed,,Yes,"May 2, 2022",4 佳作,喜爱科幻设定，需要了解背景，观感拉满
Bubble,自己,❗️❗️❗️,动画,,Completed,,Yes,"May 1, 2022",3 及格,商业动画片
驾驶我的车,自己,❗️❗️❗️,电影,,Completed,,Yes,"April 27, 2022",4 佳作,可以再次观看，重新体会
高达铁血的奥尔芬斯,自己,❗️❗️,动画,,Completed,,Yes,"April 11, 2022",4 佳作,现代高达的优良作品，剧情上有些突兀
高达MS08小队,自己,❗️❗️,动画,,Completed,,Yes,"April 8, 2022",4 佳作,“真实”的高达，丛林战
蜘蛛侠：英雄无归,自己,❗️❗️❗️,电影,,Completed,,Yes,"April 1, 2022",3 及格,3虫同框的爽
死亡诗社,自己,❗️❗️,电影,,Completed,,Yes,"March 28, 2022",4 佳作,治愈心灵
